Creation,MergeTime,id,isPr,N. of Comments,Closed,N. Labels,author, labelStatus, lastUpdateTime, milestoneTitle
1470657609,1470750911,15391,1,5,1,5,dan131riley,NNNNNANNNNNNNNNRN,1470750911,Next CMSSW_8_0_X
1470662065,1470662213,15392,1,1,1,5,ianna,NNNNNNNNNPNNNNNPN,1470662213,Next CMSSW_8_1_X
1470684323,NA,15393,1,6,0,12,kpedro88,ANPNNPNNNPNPPPPAN,1470749758,Next CMSSW_8_1_X
1470684444,NA,15394,1,6,0,6,ferencek,NPNNNNNNNNNNNPNRN,1470722008,Next CMSSW_8_0_X
1470726940,NA,15395,1,1,0,5,matz-e,NNNNNNNNNPNNNNNPN,1470726958,Next CMSSW_8_1_X
1470734400,NA,15396,1,6,0,5,mmusich,ANNNNNNNNNNNNNNRN,1470744136,Next CMSSW_8_0_X
1470741509,NA,15397,1,1,0,5,manoni,NNNNNPNNNNNNNNNPN,1470741769,Next CMSSW_8_1_X
1470745152,NA,15398,1,5,0,6,degano,NNNNNNNNNNNPPNNSN,1470745530,Next CMSSW_8_0_X
1470745771,NA,15399,1,4,0,6,degano,NNNNNNNNNNNPPNNSN,1470745943,Next CMSSW_7_6_X
1470746475,NA,15400,1,4,0,6,degano,NNNNNNNNNNNPPNNSN,1470748979,Next CMSSW_7_5_X
1470746652,NA,15401,1,8,0,5,dan131riley,NNNNNNPNNNNNNNNSN,1470749818,Next CMSSW_8_1_X
1470747130,NA,15402,1,4,0,6,degano,NNNNNNNNNNNPPNNSN,1470748459,Next CMSSW_7_4_X
